country,capital,continent
Nicaragua,Managua,north america
Niger,Niamey,afrika
Nigeria,Abuja,afrika
North Korea,Pyongyang,asia
Northern Cyprus,Nicosia,europe
Northern Ireland,Belfast,europe
Norway,Oslo,europe
Oman,Muscat,asia
Pakistan,Islamabad,asia
Palau,Ngerulmud,oceania
Palestine,Jerusalem,asia,ocupied
Panama,Panama City,south america
Papua New Guinea,Port Moresby,asia
Paraguay,Asunción,south america
Peru,Lima,south america
Philippines,Manila,asia
Poland,Warsaw,europe
Portugal,Lisbon,europe
Qatar,Doha,asia
Taiwan,Taipei,asia
Republic of the Congo,Brazzaville,afrika
Romania,Bucharest,europe
Russia,Moscow,europe
Rwanda,Kigali,afrika
Saint Kitts and Nevis,Basseterre,north america
Saint Lucia,Castries,north america
Samoa,Apia,oceania
San Marino,San Marino,europe
Saudi Arabia,Riyadh,asia
Scotland,Edinburgh,europe
Senegal,Dakar,afrika
Serbia,Belgrade,europe
Seychelles,Victoria,afrika
Sierra Leone,Freetown,afrika
Singapore,Singapore,asia
Slovakia,Bratislava,europe
Slovenia,Ljubljana,europe
Solomon Islands,Honiara,oceania
Somalia,Mogadishu,afrika
Somaliland,Hargeisa,afrika
South Africa,Pretoria,afrika
South Korea,Seoul,asia
South Ossetia,Tskhinvali,asia
South Sudan,Juba,afrika
Spain,Madrid,europe
Sri Lanka,Sri Jayawardenapura Kotte,asia
Sudan,Khartoum,afrika
Suriname,Paramaribo,south america
Swaziland,Mbabane,afrika
Sweden,Stockholm,europe
Switzerland,Bern,europe
Syria,Damascus,asia
São Tomé and Príncipe,São Tomé,afrika
Tajikistan,Dushanbe,asia
Tanzania,Dodoma,afrika
Thailand,Bangkok,asia
Togo,Lomé,afrika
Tonga,Nukuʻalofa,oceania
Transnistria,Tiraspol,europe
Trinidad and Tobago,Port of Spain,north america
Tunisia,Tunis,afrika
Turkey,Ankara,asia
Turkmenistan,Ashgabat,asia
Tuvalu,Funafuti,oceania
Uganda,Kampala,afrika
Ukraine,Kiev,europe
United Arab Emirates,Abu Dhabi,asia
United Kingdom,London,europe
United States,Washington.D.C.,north america
Uruguay,Montevideo,south america
Uzbekistan,Tashkent,asia
Vanuatu,Port Vila,oceania
Vatican,Vatican,europe
Venezuela,Caracas,south america
Vietnam,Hanoi,asia
Wales,Cardiff,europe
Western Sahara,El Aaiún,afrika,ocupied
Yemen,Sanaá,asia
Zambia,Lusaka,afrika
Zimbabwe,Harare,afrika
