country,capital,continent,subcategory
Latvia,Riga,europe
Lebanon,Beirut,asia
Lesotho,Maseru,afrika
Liberia,Monrovia,afrika
Libya,Tripoli,asia
Liechtenstein,Vaduz,europe
Lithuania,Vilnius,europe
Luxembourg,Luxembourg,europe
North Macedonia,Skopje,europe
Madagascar,Antananarivo,afrika
Malawi,Lilongwe,afrika
Malaysia,Kuala Lumpur,asia
Maldives,Malé,oceania
Mali,Bamako,afrika
Malta,Valletta,europe
Marshall Islands,Majuro,oceania
Mauritania,Nouakchott,afrika
Mauritius,Port Louis,afrika
Mexico,Mexico City,north america
Moldova,Chisinau,europe
Monaco,Monaco,europe
Mongolia,Ulaanbaatar,asia
Montenegro,Podgorica,europe
Montserrat,Plymouth,north america,british teritory
Morocco,Rabat,asia
Mozambique,Maputo,afrika
Myanmar,Naypyidaw,asia
Nagorno Karabakh,Stepanakert,asia
Namibia,Windhoek,afrika
Nauru,Yaren,oceania
Nepal,Kathmandu,asia
Netherlands,Amsterdam,europe
New Caledonia,Nouméa,oceania,french teritory
New Zealand,Wellington,oceania
Nicaragua,Managua,north america
Niger,Niamey,afrika
Nigeria,Abuja,afrika
Niue,Alofi,oceania
Norfolk Island,Kingston,oceania,australian teritory
North Korea,Pyongyang,asia
Northern Cyprus,Nicosia,europe
Northern Ireland,Belfast,europe
Northern Mariana Islands,Saipan,oceania, us teritory
Norway,Oslo,europe
Oman,Muscat,asia
Pakistan,Islamabad,asia
Palau,Ngerulmud,oceania
Palestine,Jerusalem,asia
Panama,Panama City,south america
Papua New Guinea,Port Moresby,asia
Paraguay,Asunción,south america
Peru,Lima,south america
Philippines,Manila,asia
Pitcairn Islands,Adamstown,oceania,british teritory
Poland,Warsaw,europe
Portugal,Lisbon,europe
Puerto Rico,San Juan,north america
Qatar,Doha,asia
Taiwan,Taipei,asia
Republic of the Congo,Brazzaville,afrika
Romania,Bucharest,europe
Russia,Moscow,europe
Rwanda,Kigali,afrika
Saint Barthélemy,Gustavia,north america,french teritory
Saint Helena,Jamestown,afrika,british teritory
Saint Kitts and Nevis,Basseterre,north america
Saint Lucia,Castries,north america
Saint Martin,Marigot,north america,french teritory
Saint Pierre and Miquelon,St. Pierre,north america,french teritory
Saint Vincent and the Grenadines,Kingstown,north america,british teritory
Samoa,Apia,oceania
San Marino,San Marino,europe
Saudi Arabia,Riyadh,asia
Scotland,Edinburgh,europe
Senegal,Dakar,afrika
Serbia,Belgrade,europe
Seychelles,Victoria,afrika
Sierra Leone,Freetown,afrika
Singapore,Singapore,asia
Sint Maarten,Philipsburg,north america,dutch teritory
Slovakia,Bratislava,europe
Slovenia,Ljubljana,europe
Solomon Islands,Honiara,oceania
Somalia,Mogadishu,afrika
Somaliland,Hargeisa,afrika
South Africa,Pretoria,afrika
South Georgia and the South Sandwich Islands,Grytviken,south america,british teritory
South Korea,Seoul,asia
South Ossetia,Tskhinvali,asia
South Sudan,Juba,afrika
Spain,Madrid,europe
Sri Lanka,Sri Jayawardenapura Kotte,asia
Sudan,Khartoum,afrika
Suriname,Paramaribo,south america
Swaziland,Mbabane,afrika
Sweden,Stockholm,europe
Switzerland,Bern,europe
Syria,Damascus,asia
São Tomé and Príncipe,São Tomé,afrika
Tajikistan,Dushanbe,asia
Tanzania,Dodoma,afrika
Thailand,Bangkok,asia
Togo,Lomé,afrika
Tonga,Nukuʻalofa,oceania
Transnistria,Tiraspol,europe
Trinidad and Tobago,Port of Spain,north america
Tristan da Cunha,Edinburgh of the Seven Seas,afrika,british teritory
Tunisia,Tunis,afrika
Turkey,Ankara,asia
Turkmenistan,Ashgabat,asia
Turks and Caicos Islands,Cockburn Town,north america,british teritory
Tuvalu,Funafuti,oceania
Uganda,Kampala,afrika
Ukraine,Kiev,europe
United Arab Emirates,Abu Dhabi,asia
United Kingdom,London,europe
United States,Washington.D.C.,north america
United States Virgin Islands,Charlotte Amalie,north america, us teritory
Uruguay,Montevideo,south america
Uzbekistan,Tashkent,asia
Vanuatu,Port Vila,oceania
Vatican City,Vatican City,europe
Venezuela,Caracas,south america
Vietnam,Hanoi,asia
Wales,Cardiff,europe
Wallis and Futuna,Mata-Utu,oceania,french teritory
Western Sahara,El Aaiún,afrika
Yemen,Sanaá,asia
Zambia,Lusaka,afrika
Zimbabwe,Harare,afrika
